 20250215-114906,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_032_eada80d2 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_032_eada80d2,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.874687 - logloss: 1.101584
 20250215-122703,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_033_2f3ffb53 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_033_2f3ffb53,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.876576 - logloss: 1.057743
 20250215-124940,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_034_7915d9cb --gpu 0,[exp_id] DIN_MicroLens_1M_x1_034_7915d9cb,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.859009 - logloss: 1.210716
 20250215-131403,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_035_bfb1f290 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_035_bfb1f290,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.877062 - logloss: 1.099903
 20250215-142853,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_037_6aca0d91 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_037_6aca0d91,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.913903 - logloss: 0.450213
 20250215-152502,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_038_e1479b39 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_038_e1479b39,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.891045 - logloss: 0.469527
 20250215-155701,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_039_47470d0c --gpu 0,[exp_id] DIN_MicroLens_1M_x1_039_47470d0c,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.848852 - logloss: 0.529780
 20250215-165720,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_040_ae61ac23 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_040_ae61ac23,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.855289 - logloss: 0.520817
 20250215-180153,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_041_0212df47 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_041_0212df47,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.915328 - logloss: 0.460811
 20250215-181808,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_042_755e3e30 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_042_755e3e30,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.563592 - logloss: 0.812900
